ID,CTYNAME,SEX,AGEGRP,IMPRACE,Asian,Black,Latino,Native American,Other,White,RESPOP,,
AM217,Anoka County,M,2,17,1,1,1,0,0,1,1,,
AM226,Anoka County,M,2,26,1,1,1,1,0,1,1,,
AM31,Anoka County,M,3,1,0,0,1,0,0,1,535,,
AM32,Anoka County,M,3,2,0,1,1,0,0,0,29,,
AM33,Anoka County,M,3,3,0,0,1,1,0,0,29,,
AM34,Anoka County,M,3,4,1,0,1,0,0,0,8,,
AM35,Anoka County,M,3,5,0,0,1,0,1,0,1,,
AM36,Anoka County,M,3,6,0,0,1,0,0,0,14,,
AM37,Anoka County,M,3,7,0,0,1,1,0,1,18,,
AM38,Anoka County,M,3,8,1,0,1,0,0,1,6,,
AM310,Anoka County,M,3,10,0,1,1,1,0,0,1,,
AM311,Anoka County,M,3,11,1,1,1,0,0,0,2,,
AM313,Anoka County,M,3,13,1,0,1,1,0,0,1,,
AM316,Anoka County,M,3,16,0,1,1,1,0,1,2,,
AM317,Anoka County,M,3,17,1,1,1,0,0,1,2,,
AM41,Anoka County,M,4,1,0,0,1,0,0,1,504,,
AM42,Anoka County,M,4,2,0,1,1,0,0,0,26,,
AM43,Anoka County,M,4,3,0,0,1,1,0,0,19,,
AM44,Anoka County,M,4,4,1,0,1,0,0,0,8,,
AM46,Anoka County,M,4,6,0,0,1,0,0,0,18,,
AM47,Anoka County,M,4,7,0,0,1,1,0,1,9,,
AM48,Anoka County,M,4,8,1,0,1,0,0,1,3,,
AM49,Anoka County,M,4,9,0,0,1,0,1,1,1,,
AM410,Anoka County,M,4,10,0,1,1,1,0,0,2,,
AM411,Anoka County,M,4,11,1,1,1,0,0,0,1,,
AM416,Anoka County,M,4,16,0,1,1,1,0,1,4,,
AM421,Anoka County,M,4,21,1,0,1,0,1,1,1,,
AM426,Anoka County,M,4,26,1,1,1,1,0,1,1,,
AM51,Anoka County,M,5,1,0,0,1,0,0,1,376,,
AM52,Anoka County,M,5,2,0,1,1,0,0,0,12,,
AM53,Anoka County,M,5,3,0,0,1,1,0,0,20,,
AM54,Anoka County,M,5,4,1,0,1,0,0,0,5,,
AM56,Anoka County,M,5,6,0,0,1,0,0,0,10,,
AM57,Anoka County,M,5,7,0,0,1,1,0,1,6,,
AM510,Anoka County,M,5,10,0,1,1,1,0,0,2,,
AM517,Anoka County,M,5,17,1,1,1,0,0,1,1,,
AM61,Anoka County,M,6,1,0,0,1,0,0,1,505,,
AM62,Anoka County,M,6,2,0,1,1,0,0,0,14,,
AM63,Anoka County,M,6,3,0,0,1,1,0,0,20,,
AM64,Anoka County,M,6,4,1,0,1,0,0,0,5,,
AM65,Anoka County,M,6,5,0,0,1,0,1,0,1,,
AM66,Anoka County,M,6,6,0,0,1,0,0,0,9,,
AM67,Anoka County,M,6,7,0,0,1,1,0,1,10,,
AM69,Anoka County,M,6,9,0,0,1,0,1,1,3,,
AM610,Anoka County,M,6,10,0,1,1,1,0,0,1,,
AM615,Anoka County,M,6,15,1,0,1,0,1,0,1,,
AM616,Anoka County,M,6,16,0,1,1,1,0,1,2,,
AM631,Anoka County,M,6,31,1,1,1,1,1,1,1,,
AM71,Anoka County,M,7,1,0,0,1,0,0,1,571,,
AM72,Anoka County,M,7,2,0,1,1,0,0,0,11,,
AM73,Anoka County,M,7,3,0,0,1,1,0,0,28,,
AM74,Anoka County,M,7,4,1,0,1,0,0,0,9,,
AM75,Anoka County,M,7,5,0,0,1,0,1,0,2,,
AM76,Anoka County,M,7,6,0,0,1,0,0,0,8,,
AM77,Anoka County,M,7,7,0,0,1,1,0,1,11,,
AM78,Anoka County,M,7,8,1,0,1,0,0,1,1,,
AM79,Anoka County,M,7,9,0,0,1,0,1,1,1,,
AM710,Anoka County,M,7,10,0,1,1,1,0,0,1,,
AM81,Anoka County,M,8,1,0,0,1,0,0,1,500,,
AM82,Anoka County,M,8,2,0,1,1,0,0,0,23,,
AM83,Anoka County,M,8,3,0,0,1,1,0,0,16,,
AM84,Anoka County,M,8,4,1,0,1,0,0,0,5,,
AM85,Anoka County,M,8,5,0,0,1,0,1,0,1,,
AM86,Anoka County,M,8,6,0,0,1,0,0,0,7,,
AM87,Anoka County,M,8,7,0,0,1,1,0,1,11,,
